Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[django] GET /admin/,203,203,7,12.03704426659207,2.3144640726968646,156.42895502969623,157.0,3.409534678271117,3.409534678271117,7,9,12,15,30,41,52,56,160,160,160
GET,[django] GET /api/events/,741,0,51,88.17960109025009,6.295930943451822,622.006919933483,435.0,12.445641362556145,0.0,51,85,120,140,210,310,400,470,620,620,620
GET,[django] GET /api/events/{id}/seats,388,0,90,127.51507991354806,24.83937400393188,688.5242629796267,34693.177835051545,6.516746084577306,0.0,91,130,160,180,270,360,440,560,690,690,690
GET,[fastapi] GET /api/events/,603,0,53,86.80989184655454,5.522328079678118,685.525496955961,435.0,10.12782961082504,0.0,53,84,110,130,200,300,410,510,690,690,690
GET,[fastapi] GET /api/events/{id}/seats,301,0,91,118.4747623027522,26.76474303007126,623.5971299465746,34692.18272425249,5.0555169367468284,0.0,91,120,150,160,230,330,380,410,620,620,620
POST,[fastapi] POST /api/bookings/,425,425,30,55.28594991904409,4.459079005755484,497.8954899124801,167.70117647058822,7.138188365838545,7.138188365838545,30,46,65,83,130,190,310,420,500,500,500
GET,[pure] GET /api/events/,391,0,47,84.24937747576085,6.12886599265039,577.4409249424934,435.0,6.567133296571461,0.0,47,77,100,120,210,310,440,510,580,580,580
GET,[pure] GET /api/events/{id}/seats,288,0,85,119.22230579350273,25.55603499058634,610.6797349639237,34693.041666666664,4.837172351438825,0.0,86,120,150,170,250,310,420,590,610,610,610
POST,[pure] POST /api/bookings/,680,680,29,55.48694885630325,4.984149010851979,488.3024070877582,167.74117647058824,11.421101385341672,11.421101385341672,29,44,59,75,150,220,310,340,490,490,490
POST,[slow-bot] POST /api/bookings/,475,475,36,66.62825035200895,5.133413011208177,502.366254106164,205.82736842105263,7.977975232407785,7.977975232407785,36,56,78,96,180,250,330,400,500,500,500
,Aggregated,4495,1783,49,81.29506721995249,2.3144640726968646,688.5242629796267,7778.553281423804,75.49683930457472,29.946799661859117,49,77,100,130,200,280,390,440,610,690,690
